name;category;scorpan;coverage;producer;postproc;rounded;note;reference
LnGte9TimesDEM1Nibble_Flow_Accumulation_ArcGISPro_Planchon_Darboux.tif;basic;R;DK;;Anders Bjørn Møller;;Not useful;
LnGte9TimesDEM1NibbleGte0_Flow_Accumulation_ArcGISPro_Planchon_Darboux.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;;Not useful;
Longitudinal_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
lu_1.tif;basic;O;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
lu_2.tif;basic;O;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
lu_3.tif;basic;O;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
lu_4.tif;basic;O;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
lu_5.tif;basic;O;DK;Amélie Beucher;Anders Bjørn Møller;FALSE;;
Maximal_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Mid.Slope_Positon.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Minimal_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
MRRTF.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Rectangular artefacts;
MRVBF.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Rectangular artefacts;
Negative_Openness.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;Angular artefacts;
Normalized_Height.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
ogc_lite_pi0000.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0125.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0250.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0375.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0500.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0625.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0750.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
ogc_lite_pi0875.tif;basic;N;DK;Anders Bjørn Møller;Anders Bjørn Møller;FALSE;;
Positive_Openness.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Profile_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
